GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2018,2019,2020,2021,2022
 "41000","Oregon",8,SAGDP11N,68,"61,62","  Educational services, health care, and social assistance ","Percentage points",0.24,0.36,-0.16,0.47,0.24
 "41000","Oregon",8,SAGDP11N,69,"61","   Educational services ","Percentage points",0.01,0.01,-0.09,0.03,0.04
 "41000","Oregon",8,SAGDP11N,70,"62","   Health care and social assistance ","Percentage points",0.23,0.35,-0.08,0.44,0.20
 "41000","Oregon",8,SAGDP11N,71,"621","    Ambulatory health care services ","Percentage points",0.12,0.22,-0.20,0.26,0.10
 "41000","Oregon",8,SAGDP11N,72,"622","    Hospitals ","Percentage points",0.06,0.08,0.01,0.09,-0.01
 "41000","Oregon",8,SAGDP11N,73,"623","    Nursing and residential care facilities ","Percentage points",0.02,0.01,0.02,0.02,0.05
 "41000","Oregon",8,SAGDP11N,74,"624","    Social assistance ","Percentage points",0.03,0.04,0.09,0.07,0.06
 "41000","Oregon",8,SAGDP11N,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Percentage points",0.21,-0.03,-1.12,0.67,0.87
 "41000","Oregon",8,SAGDP11N,76,"71","   Arts, entertainment, and recreation ","Percentage points",0.05,-0.01,-0.24,0.20,0.25
 "41000","Oregon",8,SAGDP11N,77,"711-712","    Performing arts, spectator sports, museums, and related activities ","Percentage points",0.03,0.01,-0.14,0.10,0.17
 "41000","Oregon",8,SAGDP11N,78,"713","    Amusement, gambling, and recreation industries ","Percentage points",0.02,-0.02,-0.10,0.10,0.07
 "41000","Oregon",8,SAGDP11N,79,"72","   Accommodation and food services ","Percentage points",0.16,-0.01,-0.88,0.47,0.62
 "41000","Oregon",8,SAGDP11N,80,"721","    Accommodation ","Percentage points",0.01,-0.22,-0.09,0.17,0.03
 "41000","Oregon",8,SAGDP11N,81,"722","    Food services and drinking places ","Percentage points",0.15,0.20,-0.79,0.29,0.60
 "41000","Oregon",8,SAGDP11N,82,"81","  Other services (except government and government enterprises) ","Percentage points",0.11,0.03,-0.17,0.12,0.01
 "41000","Oregon",8,SAGDP11N,83,"92"," Government and government enterprises ","Percentage points",0.35,0.52,-0.43,0.47,0.39
 "41000","Oregon",8,SAGDP11N,84,"...","  Federal civilian ","Percentage points",0.00,-0.01,0.05,-0.01,-0.04
 "41000","Oregon",8,SAGDP11N,85,"...","  Military ","Percentage points",-0.01,0.01,0.00,0.00,-0.01
 "41000","Oregon",8,SAGDP11N,86,"...","  State and local ","Percentage points",0.36,0.52,-0.48,0.47,0.44
 "41000","Oregon",8,SAGDP11N,87,"11,21","Natural resources and mining ","Percentage points",0.22,-0.11,0.10,-0.14,-0.06
 "41000","Oregon",8,SAGDP11N,88,"42,44-45","Trade ","Percentage points",0.39,0.26,0.06,0.15,-0.29
 "41000","Oregon",8,SAGDP11N,89,"22,48-49","Transportation and utilities ","Percentage points",-0.06,0.13,-0.05,0.27,-0.03
 "41000","Oregon",8,SAGDP11N,90,"31-33,51","Manufacturing and information ","Percentage points",0.53,0.08,0.64,0.67,0.70
 "41000","Oregon",8,SAGDP11N,91,"...","Private goods-producing industries 2/","Percentage points",0.88,-0.21,0.56,-0.03,-0.06
 "41000","Oregon",8,SAGDP11N,92,"...","Private services-providing industries 3/","Percentage points",2.66,2.08,-1.06,4.79,1.52
"Note: See the included footnote file."
"SAGDP11N: Contributions to percent change in real GDP 1/"
"Last updated: September 29, 2023-- revised statistics for 2017-2022."
"U.S. Bureau of Economic Analysis"
